A 50.990 21.730 175.883 4.923 8.625 124.525
C 57.181 30.349 173.744 5.010 8.748 121.913
D 53.618 42.519 175.671 4.943 8.536 122.889
E 55.083 32.343 175.382 4.846 8.570 122.255
F 56.500 41.661 174.563 5.120 8.799 121.385
G 45.048 nan 172.632 nan 8.350 109.579
H 54.923 32.261 174.213 5.048 8.671 121.072
I 59.972 40.011 175.039 4.667 8.738 122.884
K 55.153 34.789 175.418 4.807 8.554 122.577
L 53.858 44.247 175.667 4.872 8.754 124.577
M 54.297 35.328 174.926 5.021 8.734 121.709
N 52.378 40.334 174.741 5.066 8.630 121.697
P 62.600 32.160 176.525 4.595 nan 134.923
Q 54.622 31.422 174.932 4.810 8.585 121.734
R 54.857 32.783 175.018 4.836 8.611 122.233
S 57.210 65.195 173.771 5.004 8.568 117.115
T 61.080 70.679 173.834 4.929 8.590 117.358
V 60.812 33.991 174.910 4.639 8.683 122.302
W 56.268 31.631 175.298 5.190 8.740 122.862
Y 56.689 41.085 174.678 5.095 8.772 121.461
X 54.784 43.342 173.793 5.207 8.778 120.738
