A 54.773 18.223 178.855 4.025 8.076 121.923
C 62.739 27.526 175.925 4.087 8.125 118.292
D 56.939 40.466 177.798 4.410 8.207 119.877
E 59.068 29.376 178.118 4.017 8.223 119.575
F 60.677 39.010 176.578 4.174 8.212 119.895
G 46.817 nan 175.237 nan 8.249 107.634
H 58.986 29.787 176.448 4.304 8.066 118.421
I 64.481 37.616 177.108 3.664 8.046 120.089
K 59.008 32.181 177.942 3.981 7.977 119.660
L 57.456 41.629 177.983 4.006 8.082 120.144
M 57.981 32.166 177.440 4.116 8.075 118.798
N 55.478 38.412 176.563 4.485 8.183 117.818
P 65.521 31.476 178.050 4.202 nan 131.771
Q 58.473 28.444 177.543 3.993 8.061 118.776
R 58.975 29.948 177.762 3.981 8.077 119.477
S 61.114 62.969 175.787 4.202 8.151 115.197
T 65.714 68.651 175.664 3.989 8.051 115.128
V 66.033 31.510 177.149 3.599 8.008 119.520
W 60.181 29.143 177.360 4.303 8.228 120.876
Y 60.947 38.295 176.768 4.150 8.151 119.822
X 58.325 38.764 175.550 4.348 8.210 117.679
