A 52.156 19.321 177.195 4.341 8.343 124.696
C 57.528 30.478 175.189 4.519 8.779 123.546
D 54.263 41.587 175.995 4.641 8.500 122.238
E 56.013 30.492 176.094 4.374 8.433 122.002
F 56.675 40.233 174.779 4.663 8.487 121.914
G 44.548 nan 173.308 nan 8.478 110.191
H 55.177 30.454 174.292 4.701 8.403 120.668
I 59.954 38.798 175.794 4.264 8.251 123.115
K 55.804 33.237 176.148 4.326 8.341 122.684
L 54.166 42.594 176.323 4.435 8.388 123.756
M 54.884 33.483 175.085 4.561 8.401 121.512
N 52.899 38.980 174.927 4.754 8.542 120.989
P 62.663 31.925 176.478 4.414 nan 134.088
Q 55.051 29.569 175.293 4.403 8.447 121.707
R 55.806 30.843 176.052 4.336 8.357 122.030
S 58.329 64.227 174.255 4.448 8.539 117.768
T 61.157 69.996 174.195 4.448 8.324 116.831
V 61.691 32.802 175.557 4.152 8.264 121.839
W 58.358 30.339 176.309 4.516 8.491 123.624
Y 57.982 39.594 175.990 4.563 8.637 121.626
X 55.067 41.106 174.430 4.632 8.632 121.673
