A	-0.639   123.906   -0.004
C       3.100   119.068   0.785
D       0.679   120.207   -0.373
E       1.226   120.769   -0.100
F       2.238   120.138   -0.484
G       0.000   108.783   0.000
H       1.761   118.930   -0.225
I       4.205   120.512   -0.167
K       1.311   121.353   0.068
L       0.835   121.877   -0.397
M       1.407   120.002   -0.145
N       0.699   118.668   -0.219
P       0.569   136.612   1.072
Q       1.700   120.224   -0.087
R       1.909   121.288   -0.065
S       2.297   115.935   -0.053
T       2.680   114.024   0.076
V       4.507   120.403   -0.047
W       0.795   120.733   -0.273
Y       2.729   120.228   -0.387
X       3.100   119.068   0.785
