A	-0.046   4.224   -0.042
C       0.025   4.447   -0.008
D       -0.024   4.537   -0.009
E       -0.048   4.222   -0.005
F       -0.040   4.573   -0.052
G       0.000   3.98   0.000
H       -0.019   4.585   -0.059
I       0.010   4.076   0.000
K       -0.031   4.237   -0.011
L       -0.042   4.260   -0.021
M       -0.018   4.425   -0.018
N       -0.004   4.632   -0.033
P       -0.032   4.337   0.276
Q       -0.009   4.254   -0.039
R       -0.004   4.239   -0.017
S       0.006   4.392   0.030
T       -0.005   4.252   0.065
V       -0.007   4.009   0.021
W       -0.168   4.567   -0.082
Y       -0.035   4.504   -0.044
X       0.025   4.447   -0.008
