A	0.088   8.158   -0.056
C       0.293   8.410   0.375
D       0.081   8.217   -0.003
E       0.174   8.304   -0.014
F       0.079   8.107   -0.133
G       0.000   8.307   0.000
H       0.141   8.310   -0.136
I       0.250   7.963   -0.071
K       0.174   8.221   -0.053
L       0.105   8.088   -0.086
M       0.205   8.209   -0.066
N       0.130   8.366   -0.023
P       0.292   5.315   -0.028
Q       0.225   8.258   -0.016
R       0.251   8.232   -0.039
S       0.230   8.215   -0.002
T       0.211   8.047   0.042
V       0.259   8.037   -0.052
W       -0.555   7.725   0.032
Y       -0.052   8.026   -0.093
X       0.293   8.410   0.375
