A	0.068   178.418   -0.816
C       -0.417   174.927   -0.610
D       0.059   176.987   -0.853
E       -0.032   177.125   -0.503
F       -0.672   176.368   -0.891
G       0.000   174.630   0.000
H       -0.243   175.349   -0.677
I       -0.045   176.897   -0.559
K       -0.117   177.224   -0.520
L       -0.115   178.037   -0.612
M       -0.118   176.953   -0.271
N       -0.052   175.825   -0.849
P       -0.040   177.542   -2.874
Q       -0.153   176.510   -0.551
R       -0.246   176.821   -0.625
S       -0.128   175.236   -0.483
T       -0.130   175.122   -0.327
V       -0.198   176.772   -0.662
W       -0.465   174.549   -0.694
Y       -0.633   176.284   -0.848
X       -0.417   174.927   -0.610
