A 52.183 19.259 176.877 8.203 4.309 124.485
C 58.438 28.631 174.545 8.329 4.497 120.431
D 53.997 41.273 175.794 8.283 4.640 120.937
E 56.250 30.325 175.979 8.330 4.300 121.547
F 57.358 39.975 174.962 8.129 4.614 120.225
G 45.234 ------ 174.009 8.234 ----- 109.377
H 55.964 29.719 175.349 8.310 4.585 118.930
I 60.467 38.735 175.377 7.954 4.179 121.126
K 56.068 32.797 175.896 8.229 4.287 122.050
L 54.612 42.425 176.442 8.035 4.360 122.349
M 55.127 33.318 175.610 8.257 4.505 120.988
N 53.083 39.008 174.747 8.339 4.705 119.427
P 62.830 32.058 176.290 ----- 4.425 ------- 
Q 55.571 29.484 175.386 8.246 4.328 120.528
R 55.868 30.637 175.758 8.208 4.318 121.210
S 58.081 64.007 174.434 8.260 4.497 116.557
T 61.290 69.950 174.308 8.131 4.395 114.413
V 61.572 32.828 175.425 7.994 4.160 120.551
W 56.713 30.347 175.921 8.090 4.656 121.514
Y 57.294 39.296 174.847 7.943 4.602 120.588
X 54.557 41.636 174.676 8.505 4.719 119.391
