A 54.910 18.201 178.956 8.088 4.004 121.915
C 63.414 27.338 176.038 8.130 4.018 118.278
D 57.230 40.440 177.989 8.206 4.387 119.828
E 59.235 29.367 178.227 8.229 3.994 119.614
F 61.006 39.009 176.724 8.249 4.120 120.199
G 47.039 ------ 175.484 8.263 ----- 107.475
H 59.308 29.627 176.686 8.127 4.253 118.721
I 64.705 37.595 177.211 8.050 3.632 120.197
K 59.241 32.200 178.058 7.985 3.954 119.689
L 57.613 41.627 178.061 8.093 3.982 120.185
M 58.157 32.177 177.546 8.095 4.095 118.855
N 55.811 38.280 176.910 8.237 4.440 117.880
P 65.625 31.470 178.228 ----- 4.188 -------
Q 58.669 28.425 177.706 8.071 3.971 118.834
R 59.195 29.952 177.895 8.075 3.954 119.556
S 61.443 62.852 175.969 8.152 4.172 115.113
T 66.330 68.485 175.794 8.089 3.920 115.744
V 66.314 31.473 177.265 8.021 3.551 119.785
W 60.448 29.148 177.443 8.267 4.278 121.060
Y 61.206 38.296 176.856 8.178 4.091 120.055
X 58.260 38.712 175.579 8.234 4.304 118.101
