A  55.085   0.711  53.610   1.784
C  63.789   1.339  58.544   2.122
D  57.416   0.768  53.530   2.345
E  59.224   0.970  57.054   2.028
F  61.187   1.427  59.300   2.814
G  47.197   0.652  45.597   1.326
H  58.534   1.210  54.441   1.359
I  64.858   1.505  61.900   2.424
K  59.407   1.020  57.088   2.276
L  57.834   0.779  55.949   2.061
M  58.450   1.467  56.508   1.726
N  56.052   0.906  52.507   1.511
P  65.783   0.762  63.521   1.514
Q  58.845   0.855  56.795   2.211
R  59.369   1.074  56.207   2.472
S  61.581   0.981  57.446   1.627
T  66.516   1.266  60.534   1.764
V  66.436   1.150  63.651   2.984
W  60.768   1.687  59.165   2.157
Y  61.378   1.379  59.591   2.449
X  59.134   2.265  55.203   2.174
