A  18.217   0.779  18.874   1.008
C  27.153   1.172  29.447   1.700
D  40.359   0.910  40.518   1.253
E  28.924   0.880  28.940   0.868
F  38.978   0.978  39.323   1.327
G     nan     nan     nan     nan
H  28.671   0.974  32.741   1.559
I  37.626   1.116  37.954   1.584
K  32.250   0.783  32.847   1.516
L  41.580   1.030  41.843   1.427
M  32.282   1.539  32.473   2.015
N  38.215   0.942  39.169   1.330
P  31.530   0.709  32.099   0.842
Q  28.410   0.849  28.924   1.300
R  29.950   0.737  30.340   1.712
S  62.804   0.842  64.840   1.368
T  68.455   0.736  71.015   1.543
V  31.528   0.647  32.197   1.581
W  29.025   1.068  29.356   1.238
Y  38.225   0.962  38.138   1.229
X  39.320   3.172  40.193   2.309
